feature,activation_frequency
0,0.000766577257309109
1,0.0
2,0.0
3,0.0
4,0.0003832886286545545
5,0.000574932899326086
6,0.0003832886286545545
7,0.00019164431432727724
8,0.0
9,0.0
10,0.0
11,0.0003832886286545545
12,0.03698735311627388
13,0.00019164431432727724
14,0.0003832886286545545
15,0.000958221557084471
16,0.006707550957798958
17,0.0003832886286545545
18,0.000574932899326086
19,0.001533154514618218
20,0.0003832886286545545
21,0.0
22,0.009965503588318825
23,0.0003832886286545545
24,0.0
25,0.008432349190115929
26,0.16730548441410065
27,0.14833270013332367
28,0.001149865798652172
29,0.000574932899326086
30,0.0
31,0.11307014524936676
32,0.006132618058472872
33,0.000574932899326086
34,0.000958221557084471
35,0.0003832886286545545
36,0.003066309029236436
37,0.0003832886286545545
38,0.0003832886286545545
39,0.000574932899326086
40,0.000766577257309109
41,0.0
42,0.0
43,0.00019164431432727724
44,0.0
45,0.025297049432992935
46,0.0
47,0.000574932899326086
48,0.0
49,0.0
50,0.0
51,0.0003832886286545545
52,0.0
53,0.18225373327732086
54,0.0
55,0.00019164431432727724
56,0.000766577257309109
57,0.025680337101221085
58,0.0
59,0.000766577257309109
60,0.0
61,0.002299731597304344
62,0.0
63,0.0
64,0.0
65,0.000574932899326086
66,0.00344959762878716
67,0.0003832886286545545
68,0.00019164431432727724
69,0.0
70,0.0003832886286545545
71,0.00019164431432727724
72,0.000574932899326086
73,0.002108087297528982
74,0.00019164431432727724
75,0.0
76,0.000574932899326086
77,0.0
78,0.0
79,0.004024530295282602
80,0.0003832886286545545
81,0.0
82,0.000766577257309109
83,0.0
84,0.0
85,0.000766577257309109
86,0.001149865798652172
87,0.0
88,0.00172479881439358
89,0.003832886228337884
90,0.0003832886286545545
91,0.04197010397911072
92,0.001533154514618218
93,0.0003832886286545545
94,0.0
95,0.0
96,0.0003832886286545545
97,0.0003832886286545545
98,0.001341510214842856
99,0.0
100,0.0
101,0.00172479881439358
102,0.003257953329011798
103,0.0003832886286545545
104,0.000958221557084471
105,0.001149865798652172
106,0.00019164431432727724
107,0.001149865798652172
108,0.00019164431432727724
109,0.0
110,0.002108087297528982
111,0.0003832886286545545
112,0.002108087297528982
113,0.001341510214842856
114,0.0003832886286545545
115,0.002683020429685712
116,0.0003832886286545545
117,0.01360674574971199
118,0.004599463194608688
119,0.0
120,0.0
121,0.000766577257309109
122,0.0
123,0.0
124,0.000574932899326086
125,0.006707550957798958
126,0.004599463194608688
127,0.0
128,0.0003832886286545545
129,0.0003832886286545545
130,0.00172479881439358
131,0.00019164431432727724
132,0.011307014152407646
133,0.004599463194608688
134,0.000958221557084471
135,0.12897661328315735
136,0.0
137,0.0
138,0.0
139,0.000766577257309109
140,0.0
141,0.0003832886286545545
142,0.001149865798652172
143,0.0
144,0.0
145,0.17803756892681122
146,0.0003832886286545545
147,0.000766577257309109
148,0.00019164431432727724
149,0.001149865798652172
150,0.0
151,0.001533154514618218
152,0.0003832886286545545
153,0.001149865798652172
154,0.00019164431432727724
155,0.0003832886286545545
156,0.00019164431432727724
157,0.0
158,0.0003832886286545545
159,0.018972786143422127
160,0.5981218814849854
161,0.0
162,0.0
163,0.001149865798652172
164,0.000574932899326086
165,0.000766577257309109
166,0.00479110749438405
167,0.0
168,0.00019164431432727724
169,0.023955538868904114
170,0.003257953329011798
171,0.0003832886286545545
172,0.0
173,0.0003832886286545545
174,0.2592947483062744
175,0.0003832886286545545
176,0.0
177,0.000766577257309109
178,0.001341510214842856
179,0.0
180,0.00019164431432727724
181,0.0
182,0.00019164431432727724
183,0.0
184,0.00019164431432727724
185,0.0003832886286545545
186,0.0
187,0.000958221557084471
188,0.00019164431432727724
189,0.0
190,0.005174396093934774
191,0.0
192,0.0
193,0.00019164431432727724
194,0.00019164431432727724
195,0.00019164431432727724
196,0.0
197,0.0
198,0.15983135998249054
199,0.0
200,0.0003832886286545545
201,0.0
202,0.000574932899326086
203,0.000766577257309109
204,0.003066309029236436
205,0.00019164431432727724
206,0.0003832886286545545
207,0.002874664729461074
208,0.0003832886286545545
209,0.8838635683059692
210,0.0
211,0.000574932899326086
212,0.0
213,0.0003832886286545545
214,0.0
215,0.0
216,0.0
217,0.000574932899326086
218,0.0
219,0.000958221557084471
220,0.000766577257309109
221,0.0
222,0.0
223,0.000574932899326086
224,0.0
225,0.000574932899326086
226,0.000574932899326086
227,0.000574932899326086
228,0.0
229,0.00019164431432727724
230,0.00019164431432727724
231,0.0
232,0.0
233,0.25584515929222107
234,0.002491375897079706
235,0.0
236,0.0
237,0.00019164431432727724
238,0.00019164431432727724
239,0.0
240,0.806439220905304
241,0.007282483857125044
242,0.0
243,0.003257953329011798
244,0.035454198718070984
245,0.028363358229398727
246,0.0003832886286545545
247,0.000958221557084471
248,0.0003832886286545545
249,0.450172483921051
250,0.00019164431432727724
251,0.0
252,0.0003832886286545545
253,0.001916443114168942
254,0.0
255,0.005749329458922148
256,0.000766577257309109
257,0.00019164431432727724
258,0.000766577257309109
259,0.001149865798652172
260,0.00019164431432727724
261,0.0
262,0.0
263,0.0
264,0.001533154514618218
265,0.003832886228337884
266,0.0
267,0.001149865798652172
268,0.00019164431432727724
269,0.0
270,0.0003832886286545545
271,0.00479110749438405
272,0.0003832886286545545
273,0.00019164431432727724
274,0.00019164431432727724
275,0.0003832886286545545
276,0.000766577257309109
277,0.000766577257309109
278,0.009390571154654026
279,0.0
280,0.0003832886286545545
281,0.00019164431432727724
282,0.003066309029236436
283,0.0003832886286545545
284,0.0003832886286545545
285,0.0003832886286545545
286,0.0003832886286545545
287,0.000766577257309109
288,0.0
289,0.000766577257309109
290,0.00019164431432727724
291,0.004599463194608688
292,0.000574932899326086
293,0.0
294,0.0
295,0.002491375897079706
296,0.0003832886286545545
297,0.005174396093934774
298,0.0
299,0.000958221557084471
300,0.000574932899326086
301,0.0003832886286545545
302,0.02759678103029728
303,0.000766577257309109
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.001341510214842856
310,0.0
311,0.000574932899326086
312,0.000574932899326086
313,0.0003832886286545545
314,0.2757761478424072
315,0.00019164431432727724
316,0.06285933405160904
317,0.00019164431432727724
318,0.0
319,0.001916443114168942
320,0.0
321,0.0
322,0.00019164431432727724
323,0.0
324,0.00172479881439358
325,0.001149865798652172
326,0.00019164431432727724
327,0.000766577257309109
328,0.32215407490730286
329,0.0
330,0.005557685159146786
331,0.000958221557084471
332,0.0
333,0.0
334,0.0
335,0.050785742700099945
336,0.0003832886286545545
337,0.0
338,0.013031813316047192
339,0.00019164431432727724
340,0.0
341,0.0003832886286545545
342,0.000766577257309109
343,0.0003832886286545545
344,0.0
345,0.0
346,0.02203909493982792
347,0.001916443114168942
348,0.00019164431432727724
349,0.16117286682128906
350,0.0
351,0.00019164431432727724
352,0.000574932899326086
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0003832886286545545
358,0.000574932899326086
359,0.000574932899326086
360,0.0
361,0.0
362,0.000574932899326086
363,0.001341510214842856
364,0.00019164431432727724
365,0.0
366,0.0
367,0.001149865798652172
368,0.0003832886286545545
369,0.0
370,0.0
371,0.0
372,0.00019164431432727724
373,0.0003832886286545545
374,0.000958221557084471
375,0.000766577257309109
376,0.0
377,0.00019164431432727724
378,0.0
379,0.0003832886286545545
380,0.0
381,0.00019164431432727724
382,0.000574932899326086
383,0.000766577257309109
384,0.0
385,0.26657724380493164
386,0.00019164431432727724
387,0.5728248357772827
388,0.0
389,0.016289766877889633
390,0.0
391,0.0
392,0.0
393,0.0003832886286545545
394,0.000766577257309109
395,0.00019164431432727724
396,0.000574932899326086
397,0.0003832886286545545
398,0.0
399,0.0003832886286545545
400,0.000958221557084471
401,0.0
402,0.0
403,0.001149865798652172
404,0.005174396093934774
405,0.000574932899326086
406,0.11862782388925552
407,0.00019164431432727724
408,0.17133000493049622
409,0.004982751794159412
410,0.0668838620185852
411,0.0
412,0.05960138142108917
413,0.0
414,0.0
415,0.00019164431432727724
416,0.003257953329011798
417,0.00019164431432727724
418,0.0003832886286545545
419,0.00019164431432727724
420,0.0003832886286545545
421,0.05404369533061981
422,0.0
423,0.000766577257309109
424,0.000574932899326086
425,0.0003832886286545545
426,0.0
427,0.0003832886286545545
428,0.0003832886286545545
429,0.00019164431432727724
430,0.0003832886286545545
431,0.0
432,0.0
433,0.035070907324552536
434,0.003832886228337884
435,0.00977385975420475
436,0.0003832886286545545
437,0.0
438,0.0
439,0.002299731597304344
440,0.0
441,0.00019164431432727724
442,0.0
443,0.0
444,0.01993100717663765
445,0.04292832687497139
