basis_id,is_operational_kept,max_user_weight,rank,sign,feature_id,alignment,cosine_alignment,mean_abs_activation,activation_frequency,mean_abs_contribution
0,0,9.079538898504325e-09,0,positive,2260,200.61697387695312,0.12304899096488953,0.8268778324127197,0.7238405346870422,165.88572692871094
0,0,9.079538898504325e-09,1,positive,4017,36.12908172607422,0.02215992659330368,1.9327313899993896,0.5093905925750732,69.82781219482422
0,0,9.079538898504325e-09,2,positive,3034,26.107460021972656,0.016013115644454956,1.9960211515426636,0.9302414655685425,52.11104202270508
0,0,9.079538898504325e-09,3,positive,14665,18.316604614257812,0.011234553530812263,2.4935708045959473,0.9532387852668762,45.67375183105469
0,0,9.079538898504325e-09,4,positive,5802,29.092992782592773,0.017844339832663536,1.2910199165344238,0.8257953524589539,37.55963134765625
0,0,9.079538898504325e-09,5,positive,7909,27.681970596313477,0.016978850588202477,1.2207328081130981,0.5193560719490051,33.79228973388672
0,0,9.079538898504325e-09,6,positive,387,18.842880249023438,0.011557385325431824,1.7332069873809814,0.5728248357772827,32.65861129760742
0,0,9.079538898504325e-09,7,positive,3065,35.78072738647461,0.021946273744106293,0.887001097202301,0.7397470474243164,31.737545013427734
0,0,9.079538898504325e-09,8,positive,14525,16.876127243041992,0.010351022705435753,1.7266929149627686,0.8815638422966003,29.139888763427734
0,0,9.079538898504325e-09,9,positive,5422,14.350571632385254,0.008801975287497044,1.8780075311660767,0.9296665191650391,26.950481414794922
0,0,9.079538898504325e-09,10,positive,14550,10.177210807800293,0.006242216564714909,2.3827693462371826,0.9193177223205566,24.24994659423828
0,0,9.079538898504325e-09,11,positive,8542,15.785929679870605,0.009682352654635906,1.463138461112976,0.8924875259399414,23.097000122070312
0,0,9.079538898504325e-09,12,positive,15375,18.10317611694336,0.011103649623692036,1.2712128162384033,0.7602529525756836,23.012989044189453
0,0,9.079538898504325e-09,13,positive,1027,19.26909065246582,0.011818762868642807,1.1888507604599,0.8901877999305725,22.90807342529297
0,0,9.079538898504325e-09,14,positive,6881,13.214044570922852,0.008104867301881313,1.7117338180541992,0.8752395510673523,22.618927001953125
0,0,9.079538898504325e-09,15,positive,5138,29.354740142822266,0.01800488866865635,0.7374635934829712,0.5534687638282776,21.648052215576172
0,0,9.079538898504325e-09,16,positive,7546,7.996164798736572,0.004904484376311302,2.540210485458374,0.9494059085845947,20.311941146850586
0,0,9.079538898504325e-09,17,positive,4168,25.344141006469727,0.015544968657195568,0.7925502061843872,0.7324645519256592,20.086503982543945
0,0,9.079538898504325e-09,18,positive,7818,28.638811111450195,0.017565704882144928,0.696956992149353,0.7395553588867188,19.960020065307617
0,0,9.079538898504325e-09,19,positive,9222,42.340576171875,0.025969814509153366,0.450920432806015,0.48696818947792053,19.09223175048828
0,0,9.079538898504325e-09,20,positive,995,44.90742492675781,0.027544070035219193,0.40120792388916016,0.5538520216941833,18.017213821411133
0,0,9.079538898504325e-09,21,positive,12368,13.266018867492676,0.008136775344610214,1.3316537141799927,0.727290153503418,17.665742874145508
0,0,9.079538898504325e-09,22,positive,160,27.654802322387695,0.016962211579084396,0.6343713998794556,0.5981218814849854,17.543415069580078
0,0,9.079538898504325e-09,23,positive,4366,21.508840560913086,0.013192538172006607,0.7978999614715576,0.6232272982597351,17.161903381347656
0,0,9.079538898504325e-09,24,positive,2687,19.091981887817383,0.01171016599982977,0.8093263506889343,0.683020293712616,15.451643943786621
0,0,9.079538898504325e-09,25,positive,3638,13.95936393737793,0.00856200885027647,1.0698692798614502,0.8095055818557739,14.934694290161133
0,0,9.079538898504325e-09,26,positive,6675,18.37158966064453,0.011268316768109798,0.812118649482727,0.47087007761001587,14.919910430908203
0,0,9.079538898504325e-09,27,positive,12793,36.8524169921875,0.022603563964366913,0.3727973401546478,0.4518972933292389,13.738483428955078
0,0,9.079538898504325e-09,28,positive,9276,12.782647132873535,0.007840272970497608,1.0369350910186768,0.7397470474243164,13.254775047302246
0,0,9.079538898504325e-09,29,positive,1733,54.5924072265625,0.033484503626823425,0.23735611140727997,0.3524338901042938,12.957841873168945
0,0,9.079538898504325e-09,30,positive,3259,35.80784606933594,0.021962866187095642,0.3606801927089691,0.42506706714630127,12.915181159973145
0,0,9.079538898504325e-09,31,positive,8577,22.56760597229004,0.013841922394931316,0.5650776028633118,0.4722115695476532,12.752449035644531
0,0,9.079538898504325e-09,32,positive,15443,23.636032104492188,0.014497237280011177,0.5071892738342285,0.5065159201622009,11.98794174194336
0,0,9.079538898504325e-09,33,positive,3047,11.346369743347168,0.0069593340158462524,1.0488731861114502,0.45362207293510437,11.90090274810791
0,0,9.079538898504325e-09,34,positive,209,8.670738220214844,0.0053182365372776985,1.219117522239685,0.8838635683059692,10.570649147033691
0,0,9.079538898504325e-09,35,positive,4241,13.238450050354004,0.008119842037558556,0.7698273062705994,0.5835568904876709,10.191320419311523
0,0,9.079538898504325e-09,36,positive,4841,9.304903030395508,0.005707208067178726,0.9922705888748169,0.8229206800460815,9.23298168182373
0,0,9.079538898504325e-09,37,positive,11447,10.420405387878418,0.006391395814716816,0.8826926350593567,0.7244154810905457,9.198015213012695
0,0,9.079538898504325e-09,38,positive,14975,18.299827575683594,0.011224254965782166,0.49980732798576355,0.5825986862182617,9.146388053894043
0,0,9.079538898504325e-09,39,positive,6693,7.655264854431152,0.004695384297519922,1.1766691207885742,0.8574166297912598,9.007713317871094
0,0,9.079538898504325e-09,40,positive,10620,21.493432998657227,0.013183088973164558,0.41908857226371765,0.5143733024597168,9.007652282714844
0,0,9.079538898504325e-09,41,positive,5744,17.95553970336914,0.011013091541826725,0.48347583413124084,0.18167880177497864,8.681069374084473
0,0,9.079538898504325e-09,42,positive,821,38.48200225830078,0.023603076115250587,0.22462797164916992,0.26638558506965637,8.644134521484375
0,0,9.079538898504325e-09,43,positive,1857,35.75053405761719,0.02192774973809719,0.24134774506092072,0.30203142762184143,8.628311157226562
0,0,9.079538898504325e-09,44,positive,11881,11.339106559753418,0.006954903714358807,0.752007007598877,0.7786508202552795,8.527087211608887
0,0,9.079538898504325e-09,45,positive,6575,11.315179824829102,0.006940211169421673,0.7533309459686279,0.693560779094696,8.524075508117676
0,0,9.079538898504325e-09,46,positive,13323,6.992488384246826,0.004288860131055117,1.2182011604309082,0.5051743984222412,8.518257141113281
0,0,9.079538898504325e-09,47,positive,2264,53.24986267089844,0.03266102075576782,0.1552862823009491,0.14775776863098145,8.268973350524902
0,0,9.079538898504325e-09,48,positive,7537,29.54240608215332,0.018119942396879196,0.2794245779514313,0.3623993992805481,8.254874229431152
0,0,9.079538898504325e-09,49,positive,9349,12.514450073242188,0.007675808388739824,0.6429637670516968,0.6128785014152527,8.046338081359863
