basis,pearson,spearman,mean_abs_score_error,relative_score_error,pair_pearson,pair_spearman
0,0.9537595510482788,0.9509904384613037,189.15304565429688,0.04912897199392319,0.915767252445221,0.9010921716690063
1,0.9575591087341309,0.9552068114280701,98.32231903076172,0.05313672125339508,0.9091362953186035,0.8935903310775757
2,0.953778088092804,0.951015055179596,188.89585876464844,0.0491260290145874,0.9158005714416504,0.9011420607566833
3,0.9537799954414368,0.951021134853363,184.68284606933594,0.049061961472034454,0.9157897233963013,0.9011193513870239
4,0.9537667036056519,0.9509981274604797,184.79124450683594,0.049102600663900375,0.9158040881156921,0.901146411895752
5,0.9537829160690308,0.9510200619697571,189.6366729736328,0.04912878945469856,0.9158206582069397,0.9011640548706055
6,0.9537681937217712,0.9509974122047424,187.20069885253906,0.04914386197924614,0.9157946705818176,0.9011520147323608
7,0.953770101070404,0.9510048627853394,186.26736450195312,0.049055639654397964,0.9157796502113342,0.9010934233665466
8,0.953782856464386,0.951019823551178,190.1099090576172,0.049122992902994156,0.9158431887626648,0.9012048840522766
9,0.9540592432022095,0.9513196349143982,110.04132080078125,0.04917994886636734,0.9162619709968567,0.9016372561454773
